
time 00h 01m 01s, episodes 152, frames 0.0M, run epr 0.05, run loss 1.35
time 00h 02m 06s, episodes 287, frames 0.1M, run epr 0.00, run loss 1.27
time 00h 03m 13s, episodes 427, frames 0.1M, run epr 0.00, run loss 1.27
time 00h 04m 15s, episodes 558, frames 0.1M, run epr 0.00, run loss 1.28
time 00h 05m 20s, episodes 684, frames 0.1M, run epr 0.00, run loss 1.27
time 00h 06m 27s, episodes 814, frames 0.1M, run epr 0.00, run loss 1.27
time 00h 07m 31s, episodes 940, frames 0.2M, run epr 0.00, run loss 1.28
time 00h 08m 45s, episodes 1081, frames 0.2M, run epr 0.00, run loss 1.27
time 00h 09m 46s, episodes 1208, frames 0.2M, run epr 0.00, run loss 1.28
time 00h 10m 49s, episodes 1340, frames 0.2M, run epr 0.00, run loss 1.27
time 00h 11m 50s, episodes 1466, frames 0.2M, run epr 0.00, run loss 1.29
time 00h 12m 51s, episodes 1588, frames 0.3M, run epr 0.00, run loss 1.27
time 00h 14m 01s, episodes 1717, frames 0.3M, run epr 0.00, run loss 1.27
time 00h 15m 04s, episodes 1840, frames 0.3M, run epr 0.14, run loss 1.34
time 00h 16m 13s, episodes 1973, frames 0.3M, run epr 0.16, run loss 1.37
time 00h 17m 19s, episodes 2110, frames 0.3M, run epr 0.01, run loss 1.28
time 00h 18m 21s, episodes 2236, frames 0.4M, run epr 0.00, run loss 1.28
time 00h 19m 25s, episodes 2372, frames 0.4M, run epr 0.00, run loss 1.28
time 00h 20m 29s, episodes 2505, frames 0.4M, run epr 0.00, run loss 1.27
time 00h 21m 29s, episodes 2605, frames 0.4M, run epr 0.64, run loss 1.52
time 00h 22m 42s, episodes 2702, frames 0.5M, run epr 1.80, run loss 2.02
time 00h 23m 59s, episodes 2821, frames 0.5M, run epr 1.45, run loss 1.85

	0.5M frames: saved model

time 00h 25m 16s, episodes 2934, frames 0.5M, run epr 1.71, run loss 2.00
time 00h 26m 21s, episodes 3025, frames 0.5M, run epr 1.77, run loss 2.01
time 00h 27m 25s, episodes 3114, frames 0.5M, run epr 1.96, run loss 2.08
time 00h 28m 40s, episodes 3217, frames 0.6M, run epr 1.65, run loss 1.96
time 00h 29m 53s, episodes 3313, frames 0.6M, run epr 2.00, run loss 2.07
time 00h 30m 58s, episodes 3398, frames 0.6M, run epr 1.53, run loss 1.95
time 00h 32m 03s, episodes 3492, frames 0.6M, run epr 1.60, run loss 2.02
time 00h 33m 20s, episodes 3580, frames 0.7M, run epr 1.85, run loss 2.24
time 00h 34m 26s, episodes 3661, frames 0.7M, run epr 2.04, run loss 2.32
time 00h 35m 38s, episodes 3745, frames 0.7M, run epr 2.25, run loss 2.43
time 00h 36m 43s, episodes 3837, frames 0.7M, run epr 1.74, run loss 2.05
time 00h 37m 51s, episodes 3929, frames 0.7M, run epr 1.99, run loss 2.14
time 00h 39m 02s, episodes 4021, frames 0.8M, run epr 1.74, run loss 2.08
time 00h 40m 14s, episodes 4102, frames 0.8M, run epr 1.89, run loss 2.20
time 00h 41m 30s, episodes 4196, frames 0.8M, run epr 1.49, run loss 1.97
time 00h 42m 45s, episodes 4296, frames 0.8M, run epr 1.81, run loss 2.20
time 00h 43m 47s, episodes 4380, frames 0.8M, run epr 1.36, run loss 1.95
time 00h 44m 52s, episodes 4461, frames 0.9M, run epr 1.71, run loss 2.21
time 00h 46m 10s, episodes 4577, frames 0.9M, run epr 1.33, run loss 2.03
time 00h 47m 13s, episodes 4664, frames 0.9M, run epr 1.52, run loss 2.17
time 00h 48m 27s, episodes 4763, frames 0.9M, run epr 1.49, run loss 2.10
time 00h 49m 31s, episodes 4882, frames 1.0M, run epr 0.24, run loss 1.40
time 00h 50m 39s, episodes 5017, frames 1.0M, run epr 0.30, run loss 1.40

	1.0M frames: saved model

time 00h 51m 42s, episodes 5103, frames 1.0M, run epr 1.20, run loss 1.85
time 00h 52m 51s, episodes 5201, frames 1.0M, run epr 1.25, run loss 1.89
time 00h 53m 51s, episodes 5285, frames 1.0M, run epr 1.14, run loss 2.07
time 00h 55m 11s, episodes 5380, frames 1.1M, run epr 1.97, run loss 2.16
time 00h 56m 12s, episodes 5464, frames 1.1M, run epr 1.29, run loss 1.90
time 00h 57m 22s, episodes 5551, frames 1.1M, run epr 1.34, run loss 1.96
time 00h 58m 28s, episodes 5635, frames 1.1M, run epr 1.08, run loss 1.86
time 00h 59m 28s, episodes 5707, frames 1.1M, run epr 1.60, run loss 2.11
time 01h 00m 51s, episodes 5822, frames 1.2M, run epr 1.21, run loss 2.04
time 01h 01m 51s, episodes 5925, frames 1.2M, run epr 0.24, run loss 1.42
time 01h 02m 55s, episodes 6045, frames 1.2M, run epr 0.02, run loss 1.28
time 01h 04m 18s, episodes 6188, frames 1.2M, run epr 0.14, run loss 1.32
time 01h 05m 19s, episodes 6286, frames 1.2M, run epr 0.51, run loss 1.46
time 01h 06m 32s, episodes 6401, frames 1.3M, run epr 0.46, run loss 1.47
time 01h 07m 38s, episodes 6482, frames 1.3M, run epr 1.84, run loss 2.02
time 01h 08m 56s, episodes 6576, frames 1.3M, run epr 2.34, run loss 2.15
time 01h 09m 57s, episodes 6661, frames 1.3M, run epr 1.62, run loss 2.02
time 01h 11m 17s, episodes 6782, frames 1.4M, run epr 1.63, run loss 2.05
time 01h 12m 18s, episodes 6862, frames 1.4M, run epr 1.31, run loss 1.99
time 01h 13m 22s, episodes 6959, frames 1.4M, run epr 1.03, run loss 1.89
